Typ;Názov v katalógu;Nájdený produkt v Shoptete;Skóre;Metóda;V ponuke
rubber;Andro Blowfish Plus;;56.2;unmatched;nie
rubber;Andro Hexer Pips;;87.5;unmatched;nie
rubber;Andro NUZN 45;;92.3;unmatched;nie
rubber;Barna Base Legend Half Long;;77.3;unmatched;nie
rubber;Barna Base Legend Half Long OX;;77.3;unmatched;nie
rubber;Barna Original Extra Spin;;78.0;unmatched;nie
rubber;Barna Original Legend Classic - OX;;81.6;unmatched;nie
rubber;Barna Original Legend Fire - OX;;79.1;unmatched;nie
rubber;Barna Original Legend Long;;79.1;unmatched;nie
rubber;Barna Original Legend Long - OX;;79.1;unmatched;nie
rubber;Barna Original Super Glanti;;82.6;unmatched;nie
rubber;Barna Original Super Glanti Black Edition;;89.4;unmatched;nie
rubber;Barna Original Virus-2;;78.0;unmatched;nie
rubber;Barna Original Virus-2 OX;;78.0;unmatched;nie
rubber;Butterfly Orthodox DX - OX;;92.3;unmatched;nie
rubber;Butterfly Roundell Soft;;87.8;unmatched;nie
rubber;Butterfly Speedy P.O.;;73.2;unmatched;nie
rubber;Butterfly Sriver;;94.1;unmatched;nie
rubber;Butterfly Tenergy 05  B;;95.2;unmatched;nie
rubber;Butterfly Tenergy 05-FX;;95.7;unmatched;nie
rubber;Butterfly Tenergy 25-FX;;95.7;unmatched;nie
rubber;Butterfly Tenergy 64-FX;;95.7;unmatched;nie
rubber;Butterfly Tenergy 80-FX;;95.7;unmatched;nie
rubber;Butterfly Zyre-03;;94.1;unmatched;nie
rubber;Der-Materialspezialist Anti-Speed;;97.0;unmatched;nie
rubber;Der-Materialspezialist Beast;;88.5;unmatched;nie
rubber;Der-Materialspezialist Breakout;;96.8;unmatched;nie
rubber;Der-Materialspezialist Breakout - OX;;96.8;unmatched;nie
rubber;Der-Materialspezialist Burnout;;96.7;unmatched;nie
rubber;Der-Materialspezialist Elimination Extra Long;;97.8;unmatched;nie
rubber;Der-Materialspezialist Elimination Extra Long OX;;97.8;unmatched;nie
rubber;Der-Materialspezialist Elite Long;;97.0;unmatched;nie
rubber;Der-Materialspezialist Elite Long OX;;97.0;unmatched;nie
rubber;Der-Materialspezialist ESP;;92.6;unmatched;nie
rubber;Der-Materialspezialist ESP Blackspin Edition;;95.6;unmatched;nie
rubber;Der-Materialspezialist Fakir;;96.4;unmatched;nie
rubber;Der-Materialspezialist Fakir OX;;96.4;unmatched;nie
rubber;Der-Materialspezialist Firestorm;;96.9;unmatched;nie
rubber;Der-Materialspezialist Firestorm Green Storm Edition;;78.7;unmatched;nie
rubber;Der-Materialspezialist Firestorm Green Storm Edition OX;;78.7;unmatched;nie
rubber;Der-Materialspezialist Firestorm Soft;;97.3;unmatched;nie
rubber;Der-Materialspezialist Flashback;;96.9;unmatched;nie
rubber;Der-Materialspezialist Flashback OX;;96.9;unmatched;nie
rubber;Der-Materialspezialist Hallucination;;97.2;unmatched;nie
rubber;Der-Materialspezialist Hallucination OX;;97.2;unmatched;nie
rubber;Der-Materialspezialist Hardcore;;96.8;unmatched;nie
rubber;Der-Materialspezialist Hardcore Speed;;97.3;unmatched;nie
rubber;Der-Materialspezialist Hellcat;;96.7;unmatched;nie
rubber;Der-Materialspezialist Hellcat OX;;96.7;unmatched;nie
rubber;Der-Materialspezialist Kamikaze;;96.8;unmatched;nie
rubber;Der-Materialspezialist Kamikaze - OX;;96.8;unmatched;nie
rubber;Der-Materialspezialist Kamikaze Long Green;;83.7;unmatched;nie
